∞¸∏Æπ¯»£(OBJECTID),±π∏≥∞¯ø¯∞¸∏Æπ¯»£(ID_CD),∞¯ø¯ªÁπ´º“ƒ⁄µÂ(PO_CD),∫–∑˘ƒ⁄µÂ(CLASS_CD),¿œ∑√π¯»£(SEQNO),∏Ìƒ™_«—±€(KOR_NM),∏Ìƒ™_øµæÓ(ENG_NM),¡∂∏¡±Ê¿Ã(VIEW_LENG),¡∂∏¡πÊ¿ß∞¢(VIEW_AZ),∞Ìµµ(ELEVATION),∞Êµµ(LONGITUDE),¿ßµµ(LATITUDE),Ω…∫ºƒ⁄µÂ(SYMBOL_CD),∞Ê∞¸¿⁄ø¯Ωƒ∫∞ƒ⁄µÂ(SCENE_ID)
147,110107000000,1101,690,18,±º«˜∆˜«ÿºˆøÂ¿Â ¡∂∏¡¡°,Gulhyeolpo Beach Viewpoint,0,0,29.12999916,126.2674744,36.6813857,X,
148,110107000000,1101,690,19,ø¨∆˜«ÿºˆøÂ¿Â ¡∂∏¡¡°,Yenpo Beach Viewpoint,307,38,30,126.2068354,36.6919704,X,110106000000
149,110107000000,1101,690,20,∏∂∞À∆˜«ÿºˆøÂ¿Â ¡∂∏¡¡°,Mageompo Beach Viewpoint,590,265,27.03000069,126.2886275,36.614447,X,110106000000
150,110107000000,1101,690,21,∆ƒµµ∏Æ«ÿºˆøÂ¿Â ¡∂∏¡¡°,Padori Beache Viewpoint,235,68,26.88999939,126.1333189,36.7385883,X,110106000000
151,110107000000,1101,690,22,æÓ¿∫µπ«ÿºˆøÂ¿Â ¡∂∏¡¡°,Eoeundol Beach Viewpoint,469,287,26.45000076,126.1323597,36.7517616,X,110106000000
152,110107000000,1101,690,23,√µ∏Æ∆˜«ÿºˆøÂ¿Â ¡∂∏¡¡°,Cheollipo Beach Viewpoint,168,89,27.10000038,126.1501552,36.8012782,X,110106000000
153,110107000000,1101,690,24,πÈ∏Æ∆˜«ÿºˆøÂ¿Â ¡∂∏¡¡°,Baekripo Beache Viewpoint,13,143,26.72999954,126.155087,36.8118953,X,110106000000
154,110107000000,1101,690,25,Ω ∏Æ∆˜(¿««◊)«ÿºˆøÂ¿Â ¡∂∏¡¡°,Sipripo(Uihang)Beach Viewpoint,178,207,28.27000046,126.16098,36.8265469,X,110106000000
155,110107000000,1101,690,26,±∏∏ß∆˜«ÿºˆøÂ¿Â ¡∂∏¡¡°,Gureumpo Beach Viewpoint,143,192,23.87000084,126.1539432,36.8371828,X,110106000000
156,110107000000,1101,690,27,«–æœ∆˜«ÿºˆøÂ¿Â ¡∂∏¡¡°,Hakampo Beach Viewpoint,964,359,24.31999969,126.2047207,36.9002223,X,110106000000
157,110107000000,1101,690,29,Ω≈µŒ∏Æ«ÿæ»ªÁ±∏ ¡∂∏¡¡°,Shinduri Coastal Dune Viewpoint,0,0,26.84000015,126.1950223,36.8444449,X,
158,110107000000,1101,690,30,¥ﬁªÍ∆˜«ÿ∫Ø ¡∂∏¡¡°,Dalsanpo Beach Viewpoint,192,158,27.93000031,126.2966984,36.6539131,X,110106000000
159,110107000000,1101,690,31,∏’µø«ÿ∫Ø ¡∂∏¡¡°,Meondong Beach Viewpoint,0,0,28.35000038,126.1878275,36.8830498,X,
160,110107000000,1101,690,32,∏˘ªÍ∆˜«ÿ∫Ø ¡∂∏¡¡°,Mongsanpo Beach Viewpoint,1690,157,27.28000069,126.2888204,36.6676115,X,110106000000
161,110107000000,1101,690,33,¥ﬁªÍ∆˜«ÿ∫Ø ¡∂∏¡¡°,Dalsanpo Beach Viewpoint,780,280,32.75,126.2931913,36.66146,X,110106000000
162,110107000000,1101,690,34,√ª∆˜¥Î«ÿ∫Ø ¡∂∏¡¡°,Cheongpodae Beach Viewpoint,709,276,29.54000092,126.3003457,36.6429282,X,110106000000
163,110107000000,1101,690,35,±∏∑ ∆˜«ÿ∫Ø ¡∂∏¡¡°,Guryepo Beach Viewpoint,213,51,27.28000069,126.1980683,36.8867532,X,110106000000
164,110107000000,1101,690,36,«“πÃ«“æ∆∫ÒπŸ¿ß ¡∂∏¡¡°,Halmi Halahbi Rock Viewpoint,557,115,29.98999977,126.3343258,36.5017327,X,110106000000
165,120107000000,1201,690,1,Ω≈¡ˆµµ ∞ππ˙ ¡∂∏¡¡°,Sinjido Tidal Flats Viewpoint,0,0,33,126.805854,34.3334186,X,
166,120107000000,1201,690,2,ªÛªÍ ¡∂∏¡¡°,Sangsan Viewpoint,924,113,183.7599945,126.7941662,34.3243792,X,120106000000
167,120107000000,1201,690,3,∏ÌªÁΩ ∏Æ «ÿºˆøÂ¿Â ¡∂∏¡¡°,Myeongsasipri Beache Viewpoint,164,278,32.36999893,126.8074978,34.3281543,X,120106000000
168,120107000000,1201,690,4,¡§µµ∏Æ ±∏∞ËµÓ ∏ÌΩ¬ ¡¶3»£ ¡∂∏¡¡°,Jeongdori Gugyedeung Scenic Beauty No. 3,0,0,34.11999893,126.7086378,34.2982098,X,
169,120107000000,1201,690,5,¥Îº∫ªÍ ¡∂∏¡¡°,Daeseongsan Viewpoint,0,0,74.48000336,126.9062221,34.1754324,X,
170,120107000000,1201,690,6,ø¿ªÍ ¡∂∏¡¡°,Osan Viewpoint,0,0,74.48000336,126.9062222,34.1754314,X,
171,120107000000,1201,690,7,∏≈∫¿ªÍ ¡∂∏¡¡°,Maebongsan Viewpoint,741,257,278.0599976,126.9113696,34.1687431,X,120106000000
172,120107000000,1201,690,8,¥Î∫¿ªÍ ¡∂∏¡¡°,Daebongsan Viewpoint,2314,131,74.48000336,126.9062219,34.1754321,X,120106000000
173,120107000000,1201,690,9,¥Î∫¿ªÍ ¡∂∏¡¡°,Daebongsan Viewpoint,3217,66,281.2999878,126.6602112,34.1562386,X,120106000000
174,120107000000,1201,690,10,∞°«–ªÍ ¡∂∏¡¡°,Gahaksan Viewpoint,38,153,392.980011,126.6570033,34.1540811,X,120106000000
175,120107000000,1201,690,11,∫Œ»ÔªÍ ¡∂∏¡¡°,Buheungsan Viewpoint,2012,278,392.980011,126.657004,34.1540815,X,120106000000
176,120107000000,1201,690,12,∏Õº±∏Æ ªÛ∑œºˆ∏≤ ¡∂∏¡¡°,Maengseonri Evergreen Viewpoint,0,0,38.52000046,126.6367884,34.1508453,X,
177,120107000000,1201,690,13,πÃ∂Û∏Æ ªÛ∑œºˆ∏≤ ¡∂∏¡¡°,Mirari Evergreen Viewpoint,0,0,32.74000168,126.6683172,34.1437243,X,
178,120107000000,1201,690,14,øπº€∏Æ ªÛ∑œºˆ∏≤ ¡∂∏¡¡°,Yesongri Evergreen Viewpoint,0,0,97.98000336,126.5694909,34.1461049,X,
179,120107000000,1201,690,15,∞›¿⁄∫¿ ¡∂∏¡¡°,Gyeokjabong Viewpoint,844,198,432.4400024,126.5491577,34.1383102,X,120106000000
180,120107000000,1201,690,16,∏¡ø˘∫¿ ¡∂∏¡¡°,Mangwolbong Viewpoint,3290,183,432.4700012,126.5491035,34.1382971,X,120106000000
181,120107000000,1201,690,17,∫∏¡◊ªÍ ¡∂∏¡¡°,Ppyojoksan Viewpoint,2055,234,349.5499878,126.5271124,34.1395226,X,120106000000
182,120107000000,1201,690,18,∏¡«‚ªÍ ¡∂∏¡¡°,Manghyangsan Viewpoint,0,0,349.5499878,126.5271075,34.1395197,X,
183,120107000000,1201,690,19,ªÛ∑œºˆ∏≤ ¡∂∏¡¡°,Evergreen Forest Viewpoint,0,0,33.13000107,127.4677715,34.4692987,X,
184,120107000000,1201,690,20,πﬂ∆˜«ÿºˆøÂ¿Â ¡∂∏¡¡°,Balpo Beaches Viewpoint,201,35,28.69000053,127.3555475,34.4910592,X,120106000000
185,120107000000,1201,690,21,∫Œ√§πŸ¿ß ¡∂∏¡¡°,Buchae Rock Viewpoint,0,0,31.51000023,127.3409947,34.4805448,X,
186,120107000000,1201,690,22,ªÁ¿⁄πŸ¿ß ¡∂∏¡¡°,Saja Rock Viewpoint,3988,341,89.65000153,127.4876497,34.4339029,X,120106000000
187,120107000000,1201,690,23,∞ÓµŒø© ¡∂∏¡¡°,Gokduyeo Viewpoint,1193,226,15.77999973,127.4899592,34.4142359,X,120106000000
188,120107000000,1201,690,24,ø÷∞°∏Æ µµ∑°¡ˆ ¡∂∏¡¡°,Herons doraeji Viewpoint,0,0,0,127.3409985,34.4805249,X,
189,120107000000,1201,690,25,¿Â∆˜ªÍ ¡∂∏¡¡°,Jangposan Viewpoint,0,0,420.0799866,127.502083,34.4421591,X,
190,120107000000,1201,690,26,∫¿∑°ªÍ ¡∂∏¡¡°,Bongraesan Viewpoint,1637,286,425.1000061,127.5020708,34.439065,X,120106000000
191,120107000000,1201,690,27,∫¿∑°ªÍ¡§ªÛ ¡∂∏¡¡°,Bongraesan Normal Viewpoint,1187,274,440.1300049,127.5058205,34.4354987,X,120106000000
192,120107000000,1201,690,28,∏∂ƒ°ªÍ ¡∂∏¡¡°,Machisan Viewpoint,2064,350,436.3500061,127.5059349,34.4355264,X,120106000000
193,120107000000,1201,690,29,∫∏¡◊ªÍ ¡∂∏¡¡°,Bojuksan Viewpoint,622,218,48.65000153,126.5193359,34.127977,X,120106000000
194,120107000000,1201,690,30,¿±º±µµ ø¯∏≤(∞Óºˆ¥Á) ¡∂∏¡¡°,Yunseondo Garden(Goksudang) Viewpoint,0,0,77.38999939,126.545334,34.1478428,X,
195,120107000000,1201,690,31,¿±º±µµ ø¯∏≤(≥´º≠¿Á) ¡∂∏¡¡°,Yunseondo Garden(Nakseojae) Viewpoint,0,0,99.62999725,126.5448261,34.1464159,X,
196,120107000000,1201,690,32,¿±º±µµ ø¯∏≤(µø√µºÆΩ«) ¡∂∏¡¡°,Yunseondo Garden(Dongcheonseoksil) Viewpoint,0,0,0,126.5466102,34.1489668,X,
197,120107000000,1201,690,33,∫∏±Êµµ πÈµµ∏Æ∞ππ˙ ¡∂∏¡¡°,Bogil Baekdori Tidal Flats Viewpoint,0,0,32.95000076,126.6208002,34.1571503,X,
198,120107000000,1201,690,34,¿Ø∏≤«ÿ∫Ø ¡∂∏¡¡°,Yurim Beach Viewpoint,486,18,34.22000122,127.3040803,34.0198404,X,120106000000
199,120107000000,1201,690,35,∫Ò∑Œ∫¿ ¡∂∏¡¡°,Birobong Viewpoint,0,0,189.6399994,127.298993,34.0155716,X,
200,120107000000,1201,690,36,Ω≈º±πŸ¿ß ¡∂∏¡¡°,Fresh Rock Viewpoint,147,283,164.9400024,127.3066331,34.0137177,X,120106000000
201,120107000000,1201,690,37,ºˆø˘ªÍ ¡∂∏¡¡°,Suwolsan Viewpoint,916,346,182.9100037,127.3110401,34.0136,X,120106000000
202,120107000000,1201,690,38,ªÁ¿⁄πŸ¿ß ¡∂∏¡¡°,Saja Rock Viewpoint,0,0,138.0299988,126.6230081,34.2400967,X,
203,120107000000,1201,690,39,¿±º±µµ ø¯∏≤(ººø¨¡§) ¡∂∏¡¡°,Yunseondo Garden (Seyeonjeong) Viewpoint,0,0,35.97000122,126.5559639,34.1622096,X,
204,120107000000,1201,690,40,øÏæœº∫Ω√ø≠ ±€æªπŸ¿ß ¡∂∏¡¡°,Burg Ten Wooam Geulssuin Rocks Viewpoint,76,164,35.24000168,126.6240975,34.1570049,X,120106000000
205,120107000000,1201,690,41,¡ﬂ∏Æ ¿∫∏∑° «ÿ∫Ø ¡∂∏¡¡°,Chungli Sand Beach Viewpoint,145,276,30.5,126.5884195,34.1622579,X,120106000000
206,120107000000,1201,690,42,≈Î∏Æ º÷πÁ«ÿ∫Ø ¡∂∏¡¡°,Tongli Pine Beach Viewpoint,143,65,29.40999985,126.5778944,34.156786,X,120106000000
207,120107000000,1201,690,43,øπº€∏Æ «ÿ∫Ø ¡∂∏¡¡°,Yesongri Beach Viewpoint,518,216,96.80000305,126.5694268,34.1461054,X,120106000000
208,120107000000,1201,690,44,»ÁµÈπŸ¿ß ¡∂∏¡¡°,Rocking Rocks Viewpoint,0,0,323.6199951,127.4255947,34.6301181,X,
209,120107000000,1201,690,45,¿Øøµ∫¿ ¡∂∏¡¡°,Yuyoungbong(1bong) Viewpoint,0,0,523.539978,127.4305115,34.6276603,X,
210,120207000000,1202,690,46,±Í¥Î∫¿(¡§ªÛ) ¡∂∏¡¡°,Gitdaebong(Top) Viewpoint,222,37,384.7900085,125.2032083,34.6968986,X,120206000000
211,120207000000,1202,690,47,±Í¥Î∫¿(ø¯∞Ê) ¡∂∏¡¡°,Gitdaebong(So Far) Viewpoint,81,278,365.8099976,125.2049778,34.6988536,X,120206000000
212,120207000000,1202,690,48,√ ∑…∏Ò ¿⁄ª˝¡ˆ ¡∂∏¡¡°,Choryeongmok Habitats Viewpoint,0,0,36.65999985,125.4269509,34.6869066,X,
213,120207000000,1202,690,49,¡ˆµµπŸ¿ß ¡∂∏¡¡°,Map Rocks Viewpoint,2063,184,50.09000015,125.4093821,34.6841668,X,120206000000
214,120207000000,1202,690,50,"ªÛ∂ÛªÍº∫,ªÍ∂ÛªÍ ¡∂∏¡¡°",Sangrasan Viewpoint,0,0,219.0700073,125.4179053,34.6929894,X,
215,120207000000,1202,690,51,¡¯∏Æ ºÆ≈æ ºÆµÓ ¡∂∏¡¡°,Truth Stone Pagoda Stone Ianterns Viewpoint,0,0,38.38000107,125.4257068,34.6947383,X,
216,120207000000,1202,690,52,»´µµ(∏˘µπ) «ÿºˆøÂ¿Â ¡∂∏¡¡°,Hongdo (Mongdol) Beaches Viewpoint,115,193,24.48999977,125.1915088,34.6856902,X,120206000000
217,120207000000,1202,690,53,»´µµ√µø¨∫∏»£±∏ø™√µø¨±‚≥‰π∞¡¶170»£ ¡∂∏¡¡°,Hongdo natural protected areas Viewpoint,0,0,29.45999908,125.1922509,34.6824932,X,
218,120207000000,1202,690,54,≥≤πÆπŸ¿ß ¡∂∏¡¡°,Nammun Rock Viewpoint,0,0,25.11000061,125.1970533,34.674953,X,
219,120207000000,1202,690,55,Ω«±›∏Æ±ºπŸ¿ß ¡∂∏¡¡°,Silgeumligul Rock Viewpoint,121,187,25.31999969,125.1869154,34.6708184,X,120206000000
220,120207000000,1202,690,56,Ω√∑Á∂±πŸ¿ß ¡∂∏¡¡°,Sirutteok Rock Viewpoint,0,0,24.12000084,125.1778813,34.6726059,X,
221,120207000000,1202,690,57,∞≈∫œπŸ¿ß ¡∂∏¡¡°,Turtle Rock Viewpoint,62,284,25.39999962,125.1923944,34.6937688,X,120206000000
222,120207000000,1202,690,58,∏∏π∞ªÛπŸ¿ß ¡∂∏¡¡°,Manmulsang Rock Viewpoint,0,0,25.12000084,125.1953448,34.6987343,X,
223,120207000000,1202,690,59,ºÆ»≠±ºπŸ¿ß ¡∂∏¡¡°,Seokhwagul Rock Viewpoint,0,0,25.54999924,125.1998558,34.7059878,X,
224,120207000000,1202,690,60,µ∂∏≥πÆπŸ¿ß ¡∂∏¡¡°,Dongnimmun Rock Viewpoint,836,136,25.29000092,125.1963843,34.7117501,X,120206000000
225,120207000000,1202,690,61,æÁªÍ∫¿ ¡∂∏¡¡°,"Yangsnabong, Gitdaebong Viewpoint",4370,262,26.11000061,125.1911505,34.7168328,X,120206000000
226,120207000000,1202,690,62,≈æº∂ ¡∂∏¡¡°,Tapseom Viewpoint,1000,95,26.30999947,125.2009379,34.7156411,X,120206000000
227,120207000000,1202,690,63,ΩΩ«¬ø©πŸ¿ß ¡∂∏¡¡°,Sad Over Rocks Viewpoint,101,196,25.23999977,125.2104381,34.691484,X,120206000000
228,120207000000,1202,690,64,∞¯¿€ªıπŸ¿ß ¡∂∏¡¡°,Peacock Rock Viewpoint,114,152,25.54000092,125.2088367,34.6888488,X,120206000000
229,120207000000,1202,690,65,±Í¥Î∫¿ ¡∂∏¡¡°,Gitdaebong Viewpoint,0,0,0,125.1911582,34.7168297,X,
230,120207000000,1202,690,66,±Í¥Î∫¿ ¡∂∏¡¡°,Gitdaebong Viewpoint,0,0,272.2799988,125.4342721,34.6761259,X,
231,120207000000,1202,690,67,ƒ•∂Ù∫¿ ¡∂∏¡¡°,Chilrakbong Viewpoint,0,0,318.75,125.4149049,34.6775524,X,
232,120207000000,1202,690,68,πË≥∂±‚πÃ«ÿ∫Ø ¡∂∏¡¡°,Baenanggimi Beache Viewpoint,0,0,25.26000023,125.4274202,34.6904791,X,
233,120107000000,1201,690,69,¥…∞°ªÁ ¡∂∏¡¡°,Neunggasa Viewpoint,0,0,69.30000305,127.4139167,34.639905,X,
234,120207000000,1202,690,70,ƒ•∂Ù∫¿ ¡∂∏¡¡°,Chilrakbong Viewpoint,0,0,322.2799988,125.4149193,34.6775062,X,
235,120207000000,1202,690,71,±Í¥Î∫¿ ¡∂∏¡¡°,Gitdaebong Viewpoint,0,0,303.9200134,125.4128105,34.6750597,X,
236,120207000000,1202,690,72,ª˚∞≥«ÿºˆøÂ¿Â ¡∂∏¡¡°,Saetgae Beache Viewpoint,0,0,27.39999962,125.4225708,34.6614168,X,
237,120207000000,1202,690,73,ø¡≥‡∫¿ ¡∂∏¡¡°,Oknyeobong Viewpoint,1823,197,72.98000336,125.4135348,34.6442149,X,120206000000
238,120107000000,1201,690,74,∞≠ªÍ∆¯∆˜ ¡∂∏¡¡°,Jinggangshan Waterfall Viewpoint,0,0,178.1900024,127.4479618,34.6333328,X,
239,120107000000,1201,690,75,º±≥‡∫¿ ¡∂∏¡¡°,Seonnyeobong Viewpoint,0,0,65.55999756,127.4427812,34.6408383,X,
240,120207000000,1202,690,76,µ∑∏Ò«ÿºˆøÂ¿Â ¡∂∏¡¡°,Donmok Beache Viewpoint,0,0,24.87000084,125.8272669,34.6058576,X,
241,120207000000,1202,690,77,øÏ¿ÃµµªÁ±∏ ¡∂∏¡¡°,Wooyido Four Viewpoint,0,0,25.01000023,125.827287,34.6060237,X,
242,120207000000,1202,690,78,ªÛªÍ∫¿ ¡∂∏¡¡°,Sangsanbong Viewpoint,413,309,228.9799957,125.8423624,34.6133035,X,120206000000
243,120207000000,1202,690,79,Ω√∏Ò«ÿºˆøÂ¿Â ¡∂∏¡¡°,Simok Beache Viewpoint,201,344,28.53000069,125.9514008,34.6731329,X,120206000000
244,120207000000,1202,690,80,ø¯∆Ú«ÿºˆøÂ¿Â ¡∂∏¡¡°,Wonpyeong Beache Viewpoint,209,345,26.01000023,125.9171517,34.7766764,X,120206000000
245,120207000000,1202,690,81,«œ¥©≥—ªÁ±∏ ¡∂∏¡¡°,Hanuneom Dune Viewpoint,0,0,25.29999924,125.8946501,34.7511762,X,
246,120207000000,1202,690,82,«œ¥©≥—«ÿºˆøÂ¿Â ¡∂∏¡¡°,Hanuneom Beache Viewpoint,58,177,0,125.8946643,34.751155,X,120206000000
247,120107000000,1201,690,83,∞≈∫œ∏Ò ¡∂∏¡¡°,Geobukmok Viewpoint,0,0,63.27999878,127.8043672,34.5943223,X,
248,120107000000,1201,690,84,«‚¿œæœ ¡∂∏¡¡°,Hyangilam Viewpoint,305,256,70.16000366,127.8047584,34.5939581,X,120106000000
249,120107000000,1201,690,85,±›ø¿∫¿ ¡∂∏¡¡°,Kumohbong Viewpoint,0,0,252.7200012,127.7964063,34.5914012,X,
250,120107000000,1201,690,86,±›ø¿ªÍ ¡∂∏¡¡°,Geumosan Viewpoint,35,73,281.1199951,127.8019008,34.5903739,X,120106000000
251,120107000000,1201,690,87,»ÁµÈπŸ¿ß ¡∂∏¡¡°,Rocking Rock Viewpoint,0,0,180.3399963,127.8039767,34.5916531,X,
252,120107000000,1201,690,88,«‚¿œæœ ¡∂∏¡¡°,Hyangilam Viewpoint,38,272,180.7200012,127.803942,34.5916312,X,120106000000
253,120207000000,1202,690,89,º’∞°∂ÙπŸ¿ß ¡∂∏¡¡°,Finger Rock Viewpoint,0,0,226.9299927,126.0355299,34.2915499,X,
254,120207000000,1202,690,90,µ∑¥Î∫¿ ø¯∞Ê ¡∂∏¡¡°,Dondaebong So Far Viewpoint,513,330,253.1900024,126.0373412,34.2919795,X,120206000000
255,120207000000,1202,690,91,µ∑¥Î∫¿ ¡§ªÛ ¡∂∏¡¡°,Dondaebong Top Viewpoint,74,164,296.3699951,126.0429439,34.2895075,X,120206000000
256,120207000000,1202,690,92,Ω≈¿¸«ÿ∫Ø ¡∂∏¡¡°,Temple Beach Viewpoint,0,0,28.13999939,126.0728025,34.2836139,X,
257,120207000000,1202,690,93,πÊæ∆º∂ ¡∂∏¡¡°,Banga Island Viewpoint,230,39,39.61000061,126.0607654,34.2494519,X,120206000000
258,120207000000,1202,690,94,µ∑¥Î∫¿ ¡∂∏¡¡°,Dondaebong Viewpoint,6137,94,187.0700073,126.0471404,34.23451,X,120206000000
259,120207000000,1202,690,95,∞¸∏≈µµ«ÿ∫Ø ¡∂∏¡¡°,Gwanmaedo Beach Viewpoint,446,52,29.07999992,126.0480092,34.2384034,X,120206000000
260,120207000000,1202,690,96,µππ¶øÕ ≤«µπ ¡∂∏¡¡°,Dolmyo And Kkongdol Viewpoint,0,0,31.60000038,126.0407687,34.2309966,X,
261,120207000000,1202,690,97,µ∑¥Î∫¿ ¡∂∏¡¡°,Dondaebong Viewpoint,6435,97,246.6799927,126.0510174,34.2321429,X,120206000000
262,120207000000,1202,690,98,µ∑¥Î∫¿ ¡∂∏¡¡°,Dondaebong Viewpoint,6335,97,207.2799988,126.0515396,34.2331031,X,120206000000
263,120207000000,1202,690,99,µ∑¥Î∫¿ ¡∂∏¡¡°,Dondaebong Viewpoint,6262,99,161.5099945,126.0531049,34.2339656,X,120206000000
264,120207000000,1202,690,100,πÊæ∆º∂ ¡∂∏¡¡°,Banga Island Viewpoint,1941,81,158.6399994,126.0594352,34.2334891,X,120206000000
265,120207000000,1202,690,101,πÊæ∆º∂ ¡∂∏¡¡°,Banga Island Viewpoint,1548,81,58.56000137,126.0601586,34.2369826,X,120206000000
266,120107000000,1201,690,102,ƒ⁄≥¢∏ÆπŸ¿ß ¡∂∏¡¡°,Kkoggiri Rock Viewpoint,1163,55,25.59000015,127.7874207,34.4218,X,120106000000
267,120107000000,1201,690,103,ƒ⁄±º ¡∂∏¡¡°,Kogul Viewpoint,346,170,30.62999916,127.8025806,34.4100798,X,120106000000
268,120107000000,1201,690,104,ªÛªÍ ¡∂∏¡¡°,Sangsan(Andori) Viewpoint,753,346,30.79999924,127.8043203,34.4871925,X,120106000000
269,120107000000,1201,690,105,¿Ãæﬂ∆˜ ∏˘µπ«ÿºˆøÂ¿Â ¡∂∏¡¡°,Iyapo Mongpol Beache Viewpoint,0,0,25.59000015,127.7874207,34.4218,X,
270,120207000000,1202,690,106,Ω≈±›ªÍ ¡§ªÛ ¡∂∏¡¡°,Shingeumshan Top Viewpoint,626,11,257,126.0569172,34.2987389,X,120206000000
271,120207000000,1202,690,107,Ω≈±›ªÍ ø¯∞Ê ¡∂∏¡¡°,Shingeumshan So Far Viewpoint,197,349,227.3600006,126.0614759,34.3002023,X,120206000000
272,120207000000,1202,690,108,ªÍ«‡ ∞ÔøÏ ∞ππ˙ ¡∂∏¡¡°,Hiking Gonwoo Tidal Flats Viewpoint,0,0,27.19000053,126.025509,34.2991085,X,
273,120207000000,1202,690,109,Ω≈¿∞∏Æ ∞ππ˙ ¡∂∏¡¡°,Sinyukri Tidal Flats Viewpoint,0,0,27.88999939,126.0538078,34.2879686,X,
274,120207000000,1202,690,110,«œ¡∂µµ ∏Ì¡ˆ ∞ππ˙ ¡∂∏¡¡°,Hajodo Myongji Tidal Flats Viewpoint,0,0,26.59000015,126.0268317,34.3116809,X,
275,120207000000,1202,690,111,ªÛ¡∂µµ ¿œø¯ ∞ππ˙ ¡∂∏¡¡°,Sangjodo One Won Tidal Flats Viewpoint,0,0,26.57999992,126.0460645,34.3226213,X,
276,120207000000,1202,690,112,«œ¥√¥Ÿ∏Æ ¡∂∏¡¡°,HaneulDari Viewpoint,0,0,38.5,126.025615,34.2304689,X,
277,120107000000,1201,690,113,πÆπŸ¿ß ¡∂∏¡¡°,Mun Rock Viewpoint,7268,297,358.7399902,127.7388744,34.546293,X,120106000000
278,120107000000,1201,690,114,¥Î∫ŒªÍ ¡∂∏¡¡°,Daebusan Viewpoint,0,0,411.3699951,127.7290419,34.5392785,X,
279,120207000000,1202,690,115,¥Î∏∂µµ ¡∂∏¡¡°,Daemado Viewpoint,6744,250,243.3300018,126.0051822,34.3281054,X,120206000000
280,120207000000,1202,690,116,∫¥«≥µµ ¡∂∏¡¡°,Byeongpungdo Viewpoint,1996,252,243.4199982,126.005184,34.3281,X,120206000000
281,120207000000,1202,690,117,πÈæﬂµµ ¡∂∏¡¡°,Baekyado Viewpoint,5693,91,239.3099976,126.0053615,34.3282112,X,120206000000
282,120107000000,1201,690,118,Ω≈¡ˆµµ Ω≈∏Æ∞ππ˙ ¡∂∏¡¡°,Sinjido Sinri Tidal Flats Viewpoint,0,0,29.45000076,126.8060839,34.3337583,X,
283,150107000000,1501,690,1,∏∏∞Ê¥Î ¡∂∏¡¡°,Mankyeongdae from Baekundae peak Viewpoint,304,153,818,126.9779942,37.6586446,X,
284,150107000000,1501,690,2,ø¿∫¿ ¡∂∏¡¡°,Obong Viewpoint,1200,18,301,126.9957928,37.6856934,X,
285,150107000000,1501,690,3,«ÿ∞ÒπŸ¿ß ¡∂∏¡¡°,Haegolbawi Rock Viewpoint,1260,9,450,127.0256956,37.6997722,X,
286,150107000000,1501,690,4,∏¡ø˘ªÁ ¡∂∏¡¡°,Mangwolsa Viewpoint,1251,60,436,127.0264115,37.7003811,X,
287,150107000000,1501,690,5,«ÿ∞ÒπŸ¿ß ¡∂∏¡¡°,Haegolbawi Rock Viewpoint,1498,132,455,127.0152411,37.7198595,X,
288,170107000000,1701,690,1,¿Â±∫∫¿ ¡∂∏¡¡°,Janggunbong Viewpoint,279,135,287.4700012,126.7134801,34.7708927,X,170106000000
289,170107000000,1701,690,2,√•πŸ¿ß ¡∂∏¡¡°,Chaek Rock Viewpoint,0,0,426.8999939,126.7097654,34.7697686,X,
290,170107000000,1701,690,3,¿∞«¸¡¶πŸ¿ß ¡∂∏¡¡°,Yukhyeongje Rock Viewpoint,0,0,564.5,126.7079447,34.7698634,X,
291,170107000000,1701,690,4,ªÁ¿⁄ªÁ ∏Ò≈æ¡ˆ ¡∂∏¡¡°,Sajasamoktapji Viewpoint,0,0,228.6699982,126.7172208,34.7713137,X,
292,170107000000,1701,690,5,∞≈∫œπŸ¿ß ¡∂∏¡¡°,Geobuk Rock Viewpoint,0,0,127.6800003,126.7200118,34.7741757,X,
293,170107000000,1701,690,6,¡÷¡ˆ∫¿ ¡∂∏¡¡°,Jujibong Viewpoint,3115,203,371.6799927,126.6804418,34.7559486,X,170106000000
294,170107000000,1701,690,7,πÃø’¿Á ¡§ªÛπŸ¿ß ¡∂∏¡¡°,Miwangjae Rock Viewpoint,,,,,,,
,0,0,564.7800293,126.6862274,34.7532682,X,,,,,,,
295,170107000000,1701,690,8,πÃø’¿Á ªÔ∞≈∏Æ ¡∂∏¡¡°,Miwangjae samgeoli Viewpoint,0,0,567.6099854,126.6858602,34.7531071,X,
296,170107000000,1701,690,9,πÃø’¿Á æÔªıπÁ ¡∂∏¡¡°,Miwangjae eogsaebat Viewpoint,76,68,567.5300293,126.6858587,34.7531074,X,170106000000
297,170107000000,1701,690,10,≥Î¿˚∫¿ ¡∂∏¡¡°,Nojeokbong Viewpoint,1711,132,567.1400146,126.6858221,34.753125,X,170106000000
298,170107000000,1701,690,11,µµ∞©ªÍ ¡∂∏¡¡°,Dogapsan Viewpoint,1525,218,567.5200195,126.6857635,34.753104,X,170106000000
299,170107000000,1701,690,12,≥Î¿˚∫¿ ¡∂∏¡¡°,Nojeokbong Viewpoint,1637,128,559.3200073,126.684332,34.7529512,X,170106000000
