∞¸∏Æπ¯»£(OBJECTID),±π∏≥∞¯ø¯∞¸∏Æπ¯»£(ID_CD),∞¯ø¯ªÁπ´º“ƒ⁄µÂ(PO_CD),∫–∑˘ƒ⁄µÂ(CLASS_CD),¿œ∑√π¯»£(SEQNO),∏Ìƒ™_«—±€(KOR_NM),∏Ìƒ™_øµæÓ(ENG_NM),¡∂∏¡±Ê¿Ã(VIEW_LENG),¡∂∏¡πÊ¿ß∞¢(VIEW_AZ),∞Ìµµ(ELEVATION),∞Êµµ(LONGITUDE),¿ßµµ(LATITUDE),Ω…∫ºƒ⁄µÂ(SYMBOL_CD),∞Ê∞¸¿⁄ø¯Ωƒ∫∞ƒ⁄µÂ(SCENE_ID)
34,190107000000,1901,690,2,∞Ì¿ß∫¿ ¡∂∏¡¡°,Gowibong Viewpoint,1048,214,445.8399963,129.2319717,35.7752694,X,190106000000
35,190107000000,1901,690,3,øÎ¿Â∞Ë∞Ó ¡∂∏¡¡°,Yongjang Valley Viewpoint,118,98,133.8899994,129.2141026,35.7747655,X,190106000000
36,190107000000,1901,690,4,¿Ãπ´±‚πŸ¿ß ¡∂∏¡¡°,Yimugi Rock Viewpoint,319,326,441.7900085,129.2242841,35.7696138,X,190106000000
37,190107000000,1901,690,5,∫¿±Ê«ÿºˆøÂ¿Â ¡∂∏¡¡°,Bonggil Beach Viewpoint,113,359,38.16999817,129.4837435,35.7400388,X,190106000000
38,190107000000,1901,690,6,øÏ¡ﬂ∞Ò ¡∂∏¡¡°,Woojunggol Viewpoint,170,143,624.4299927,129.0702261,35.8014191,X,190106000000
39,190107000000,1901,690,7,¿‘æœªÍ ¡∂∏¡¡°,Ipamsan Viewpoint,450,280,500.0100098,129.1099606,35.7876139,X,190106000000
40,190107000000,1901,690,8,¥‹ºÆªÍ ¡∂∏¡¡°,Danseoksan Viewpoint,431,239,772.8200073,129.0929277,35.7968395,X,190106000000
41,190107000000,1901,690,9,±∏πÃªÍ ¡∂∏¡¡°,Gumisan Viewpoint,1402,219,159.7200012,129.1460587,35.8945632,X,190106000000
42,190107000000,1901,690,10,º“±›∞≠ªÍ ¡∂∏¡¡°,Sogeumgangsan Viewpoint,458,213,122.5400009,129.2348786,35.8635554,X,190106000000
43,190107000000,1901,690,11,ø¡≥‡∫¿ ¡∂∏¡¡°,Oknyeobong Viewpoint,382,353,155.5,129.1762897,35.8526115,X,190106000000
44,190107000000,1901,690,12,º€»≠ªÍ ¡∂∏¡¡°,Songhwasan Viewpoint,546,291,77.5,129.1961917,35.8493077,X,190106000000
45,190107000000,1901,690,13,º±µµªÍ ¡∂∏¡¡°,Seondosan Viewpoint,817,192,133.3099976,129.1772296,35.8413528,X,190106000000
46,190107000000,1901,690,14,≈‰«‘ªÍ ¡∂∏¡¡°,Tohamsan Viewpoint,26,285,710.75,129.3472354,35.8010622,X,190106000000
47,190107000000,1901,690,15,∏∏»£∫¿ ¡∂∏¡¡°,Manhobong Viewpoint,1316,245,212.1100006,129.3346281,35.8231806,X,190106000000
48,190107000000,1901,690,16,øÎø¨∆¯∆˜ ¡∂∏¡¡°,Yongyeon Falls Viewpoint,18,265,202.7799988,129.3949668,35.842873,X,190106000000
49,200107000000,2001,690,1,πÈ∑œ¥„ º≠.≥≤∫Æ,Baekrokdam nambyeok,506,345,1635.060059,126.534022,33.3545513,X,200106000000
50,200107000000,2001,690,16,¿≠ººø¿∏ß,Witseohreum,300,120,1695.400024,126.5178768,33.3621693,X,200106000000
51,200107000000,2001,690,2,ªÔ«¸¡¶∫¿¿œ¥Î,Samhyeongjebongildae,4574,252,1573.5,126.5065248,33.3704046,X,200106000000
52,200107000000,2001,690,20,ªÁ¡¶∫Òø¿∏ß,Sajebiohreum,1492,264,1573.5,126.5065248,33.3704046,X,200106000000
53,200107000000,2001,690,3,æÓ∏Æ∏Ò∞Ë∞Ó,Eorimok valley,447,290,992.4899902,126.4943974,33.3890937,X,200106000000
54,200107000000,2001,690,9,µµº¯√µ∞Ë∞Ó,Dosuncheon Valley,49,253,1311.420044,126.4968633,33.3528779,X,200106000000
55,200107000000,2001,690,19,æÓΩΩ∑∑ø¿∏ß,Wanderedohreum,1471,284,1559.76001,126.4991985,33.3592741,X,200106000000
56,200107000000,2001,690,18,∫º∑°ø¿∏ß,Bolraeohreum,1517,244,1560.449951,126.4992647,33.3592683,X,200106000000
57,200107000000,2001,690,17,«—∂ÛªÍ,Halla Mountain,1062,93,1694.22998,126.5177471,33.3619651,X,200106000000
58,200107000000,2001,690,14,πÈ∑œ¥„,Baekrokdam,262,303,1950.170044,126.5357034,33.3610267,X,200106000000
59,200107000000,2001,690,10,ø’∞¸πŸ¿ß,Crown rock,914,346,1918.780029,126.5351849,33.3633041,X,200106000000
60,200107000000,2001,690,6,¿Â±∏∏Ò,Janggumok,977,289,1914.339966,126.5346841,33.3634778,X,200106000000
61,200107000000,2001,690,11,≈´µŒ∑ππÁ,Keundurebat,824,271,1525.689941,126.5306632,33.3766263,X,200106000000
62,200107000000,2001,690,15,ªÔ∞¢∫¿,Samgakbong,503,232,1525.689941,126.5306632,33.3766263,X,200106000000
63,200107000000,2001,690,7,≈Ω∂Û∞Ë∞Ó,Tamla valley,1490,182,869.0700073,126.5403143,33.4010789,X,200106000000
64,200107000000,2001,690,4,ªÁ∂Ûæ«,Sarahak,140,338,1329.140015,126.5710711,33.3708434,X,200106000000
65,200107000000,2001,690,8,º∫≥Œø¿∏ß,Seongneolohreum,1846,76,1347.099976,126.5716935,33.370031,X,200106000000
66,200107000000,2001,690,12,µøºˆæ«,Dongsuak,5272,101,1347.099976,126.5716935,33.370031,X,200106000000
67,200107000000,2001,690,13,≥Ì∞Ìæ«,Nongoak,3774,108,1347.099976,126.5716935,33.370031,X,200106000000
68,10106900001,101,690,1,ø’Ω√∑Á∫¿ π◊ ≥Î∞Ì¥‹ ¡∂∏¡¡°,Wangsirubong Peak and Nogodan Peak Viewpoint,6242,171,1396,127.5467308,35.2962867,X,
69,10106900002,101,690,2,¡¶ºÆ∫¿ ¡∂∏¡¡°,Jeseokbong Peak Viewpoint,706,255,1837,127.7282743,35.3364743,X,
70,10106900003,101,690,3,¡ﬂ∫¿_«œ∫¿_µŒ∑˘∫¿_πÈºÆ∫¿ ¡∂∏¡¡°,,1872,6,1899,127.730391,35.337006,X,
71,50106900001,501,690,1,πÆ¿Â¥Î ¡∂∏¡¡°,Munjangdae Rock Viewpoint,2801,344,1044,127.870838,36.5432388,X,
72,90106900001,901,690,1,≥Î¿Œ∫¿ ¡∂∏¡¡°,Moinbong Viewpoint,55,158,1366.599976,128.6398085,37.7826538,X,90106010004
73,90106900002,901,690,2,ªÛø’∫¿ ¡∂∏¡¡°,Sangwangbong Viewpoint,21,103,1521.930054,128.5556061,37.808631,X,90106010002
74,90106900003,901,690,3,∫Ò∑Œ∫¿ ¡∂∏¡¡°,Birobong Viewpoint,2058,235,1522.22998,128.5555636,37.8086426,X,90106010001
75,90106900004,901,690,4,∫Ò∑Œ∫¿(ø¯∞Ê) ¡∂∏¡¡°,Birobong Far Viewpoint,0,0,1570.5,128.5439723,37.8000441,X,
76,90106900005,901,690,5,ªÛø’∫¿(ø¯∞Ê) ¡∂∏¡¡°,Sangwangbong Far Viewpoint,0,0,1569.939941,128.5440017,37.8000282,X,
77,90106900006,901,690,6,»£∑…∫¿(ø¯∞Ê) ¡∂∏¡¡°,Horyeongbong Far Viewpoint,0,0,1586.52002,128.5435669,37.7943722,X,
78,90106900007,901,690,7,µŒ∑Œ∫¿ ¡∂∏¡¡°,Durobong Viewpoint,661,111,1410.459961,128.5850972,37.8149593,X,90106010009
79,90106900008,901,690,8,µŒ∑Œ∫¿ ¡∂∏¡¡°,Durobong Viewpoint,3875,115,1363.76001,128.6005624,37.7887255,X,90106010009
80,90106900009,901,690,9,µø¥ÎªÍ ¡∂∏¡¡°,Dongdaesan Viewpoint,69,129,1461.579956,128.599059,37.774157,X,90106010003
81,90106900010,901,690,10,Ωƒ¥Áæœ ¡∂∏¡¡°,Sikdangam Viewpoint,55,167,327.1499939,128.6898554,37.8054131,X,90106020002
82,90106900011,901,690,11,ªÔº±æœ ¡∂∏¡¡°,Samseonam Viewpoint,27,135,341.8399963,128.6886558,37.8049256,X,90106020001
83,90106900012,901,690,12,±∏∑Ê∆¯∆˜ ¡∂∏¡¡°,Guryongpokpo Viewpoint,36,161,379.5899963,128.6849272,37.8016161,X,90106040001
84,90106900013,901,690,13,ººΩ…∆¯∆˜ ¡∂∏¡¡°,Sesimpokpo Viewpoint,34,192,379.6300049,128.6853165,37.8026381,X,90106040006
85,90106900014,901,690,14,π´∏™∞Ë ¡∂∏¡¡°,Mureunggye Viewpoint,42,39,269.019989,128.7013728,37.8109266,X,90106090001
86,90106900015,901,690,15,Ω ¿⁄º“ ¡∂∏¡¡°,Sipjaso Viewpoint,107,20,328.9500122,128.6947954,37.8074985,X,90106090002
87,90106900016,901,690,16,ø¨»≠¥„ ¡∂∏¡¡°,Yeonhwadam Viewpoint,64,176,321.1499939,128.6921457,37.8063054,X,90106090003
88,90106900017,901,690,17,≥Î¿Œ∫¿¡§ªÛ ¡∂∏¡¡°,Noinbong Normal Viewpoint,0,0,1363.439941,128.6398136,37.7826636,X,
89,90106900018,901,690,18,»≤∫¥ªÍ ¡∂∏¡¡°,Hwangbyeongsan Viewpoint,3322,310,1324.819946,128.6395266,37.7811966,X,90106010006
90,90106900019,901,690,19,∞ËπÊªÍ ¡∂∏¡¡°,gyebangsan Viewpoint,0,0,1609.130005,128.46551,37.7283393,X,
91,90106900020,901,690,20,16≥™«—ªÛ ¡∂∏¡¡°,16 nahansang Viewpoint,0,0,936.6400146,128.564301,37.7867743,X,
92,90106900021,901,690,21,"µø¡¬¡¬ªÛ,∫Ò∑Œ¡¬≥™∫“,¿ÁºÆ√µø’ ¡∂∏¡¡°","Dongjwajwasang, Birojwanabul Viewpoint",0,0,932.9500122,128.5642667,37.7864889,X,
93,90106900022,901,690,22,∏Ì∞Ê¥Î ¡∂∏¡¡°,Myeonggyeongdae Viewpoint,0,0,319.0299988,128.6915953,37.8061274,X,
94,90106900023,901,690,23,¿ÃΩ¬æœ ¡∂∏¡¡°,Yiseungam Viewpoint,0,0,330.019989,128.6903896,37.8057037,X,
95,90106900024,901,690,24,"±∏∑Ê∆¯∆˜(¡¶7,8∆¯∆˜) ¡∂∏¡¡°","Guryongpokpo(The 7,8 ryongpokpo) Viewpoint",0,0,376.5700073,128.6849926,37.8016578,X,
96,90106900025,901,690,25,"±∏∑Ê∆¯∆˜(¡¶1,2,3,4,5,6∆¯∆˜) ¡∂∏¡¡°","Guryongpokpo(The 1,2,3,4,5,6 ryongpokpo) Viewpoint",0,0,413.1400146,128.6851439,37.8010884,X,
97,90106900026,901,690,26,√ªΩ…¥Î ¡∂∏¡¡°,Cheongsimdae Viewpoint,212,89,368.5,128.6852166,37.802202,X,90106020005
98,90106900027,901,690,27,¿∫º±∞Ë∞Ó ¡∂∏¡¡°,Eunseongyegok Viewpoint,0,0,367.7999878,128.6852124,37.802199,X,
99,90106900028,901,690,28,ººΩ…∆¯∆˜ ¡∂∏¡¡°,Sesimpokpo Viewpoint,49,121,367.519989,128.6852137,37.8021954,X,90106040006
100,90106900029,901,690,29,±∏∑Ê∆¯∆˜(¡¶9∆¯∆˜) ¡∂∏¡¡°,Guryongpokpo(9 ryong) Viewpoint,0,0,370.0100098,128.6846986,37.8018069,X,
101,90106900030,901,690,30,∏∏π∞ªÛ ¡∂∏¡¡°,Manmulsang Viewpoint,246,187,464.6700134,128.6766233,37.7969747,X,90106020003
102,90106900031,901,690,31,¿œø˘æœ ¡∂∏¡¡°,Ilwolam Viewpoint,0,0,467.6600037,128.6766194,37.7969772,X,
103,90106900032,901,690,32,√–¥ÎπŸ¿ß ¡∂∏¡¡°,Chotdae Rock Viewpoint,0,0,482.6000061,128.6748959,37.7964596,X,
